Location,15-19,20-24,25-29,30-34,35-39,40-44,45-49
Belize,68.5,133.6,115.7,83.2,47.5,14,1.6
CostaRica,53.5,94.4,84.4,69.9,39.8,10.1,0.7
ElSalvador,69.5,112.6,102.9,74.5,37.9,11.9,1.3
Guatemala,70.9,140.9,136.3,111.9,75.7,35.4,8.6
Honduras,72.9,136.4,112.8,87.3,57,26.4,4.6
Mexico,60.4,118.7,120.7,78,40.3,8.3,1.6
Nicaragua,85,129.7,118.3,83.1,46.1,17.1,4.7
Panama,81.8,137.7,125.1,90.7,44.4,12.4,1.6
SouthAmerica,62.9,96.7,93,75.9,45.1,14,1.8
Argentina,62.8,102.8,102.9,100.1,63.9,18.8,2.3
Bolivia(PlurinationalStateof),64.9,131.1,128.9,113.7,77.4,28.2,5.9
Brazil,59.1,87.5,83.1,68.5,38.6,10.3,0.8
Chile,41.1,63.5,75.9,80.9,54.9,13.3,0.5
Colombia,66.7,92.6,90.8,61.3,36.4,13.5,2.8
Ecuador,79.3,127.2,118.3,85.3,50.7,22.1,5
FrenchGuiana,58.4,137.9,172.1,170,94.9,35.7,3.2
Guyana,74.4,153.3,117.5,87.5,49.5,9.9,2.5
Paraguay,70.5,119.4,120.6,93.9,58,22.5,4.3
Peru,56.9,100,109.2,95.7,62.7,25.4,4.2
Suriname,61.7,123.3,129.1,101,52.4,17.5,1
Uruguay,58.7,92.3,93.2,87.9,49.5,13.6,0.9
Venezuela(BolivarianRepublicof),85.3,134.2,108.9,72.4,39.4,13.6,2.7
Australia/NewZealand,13,49.3,94.6,121.3,73,16.5,1.2
Australia,11.7,46.4,93.9,122.4,73.8,16.8,1.2
NewZealand,19.3,63.5,98.5,115,68.2,14.8,0.8
Oceania(excludingAustraliaandNewZealand),50.8,165.2,168.4,143.7,99.9,44.2,19.2
Melanesia,53.1,171.1,169.3,143.3,101.4,46.5,21.4
Fiji,49.4,164.2,146.8,99.7,64.7,27.7,5
NewCaledonia,14.8,83,107.7,101.6,65.8,19.3,1.7
PapuaNewGuinea,52.7,169.5,169,146.5,105,49.5,25.5
SolomonIslands,78,227,214,180,128,49,11
Vanuatu,49.4,188.8,201.5,156,103.6,47.3,13.4
Micronesia,27.7,108.9,166.4,160.6,83.3,21.8,3
Guam,31.7,110,127.8,113.7,64.5,14.7,1.4
Kiribati,16.2,99.5,209.6,232.4,121.7,31.7,5.7
Micronesia(Fed.Statesof),13.9,85.5,179.9,199.3,104.5,27.2,4.9
Polynesia,29.3,109.6,155.8,137.6,88.6,27.7,3.1
FrenchPolynesia,38.7,91.8,98.6,86.6,54.8,18.1,1.4
Samoa,23.9,137,229.2,204.4,139.7,42,4.3
Tonga,14.7,99.8,201.6,217.3,131.2,41.4,9.4
EuropeandNorthernAmerica,15,58.9,96.2,97.6,52.4,11.7,0.8
Europe,12.7,52.9,95,96.1,52.7,11.9,0.8
EasternEurope,21.1,74.9,105.2,82.4,39.3,8.2,0.4
Belarus,14.5,82.1,115.4,84.6,38.7,6.4,0.2
Bulgaria,39.9,71.5,88.4,71.4,32.7,7,0.8
Czechia,12,46.7,101.1,111.5,48.1,8.4,0.5
Hungary,24,45.7,79.4,91.8,46.5,10.4,0.4
Poland,10.5,48.7,95.9,84.3,37,7.3,0.3
RepublicofMoldova,22.4,71.4,80.9,48.9,23.1,4.2,0.3
Romania,36.2,71.5,98.9,77.6,32.7,6.8,0.3
RussianFederation,20.7,85.5,115.7,88.4,43.9,9.4,0.5
Slovakia,25.7,49.5,86.8,89.7,40.9,7.6,0.3
Ukraine,23.7,82.6,90.1,58.2,27.5,6.1,0.5
NorthernEurope,10.8,49.5,97.4,112,64.7,13.9,0.9
ChannelIslands,6.9,34.9,95.2,107,49,7.2,0.3
Denmark,4.1,35.4,110.4,129.5,60.6,11.8,0.7
Estonia,7.7,45.1,99.5,96,54.5,14.1,0.7
Finland,5.8,41.5,91.7,103.3,52.6,10.5,0.6
Iceland,6.3,50.8,110.8,106.7,63.5,14.4,1.4
Ireland,7.5,39,76.2,125.2,95.6,22.9,1.8
Latvia,16.2,63.8,104.2,94.1,52,12.3,0.7
Lithuania,10.9,45.1,115.3,106.8,46.7,9,0.3
Norway,5.1,42.5,103.8,116.6,56.6,10.8,0.6
Sweden,5.1,43.9,107.3,130.7,67.8,14.3,0.9
UnitedKingdom,13.4,53.4,95.1,108.5,64.7,14.1,0.9
SouthernEurope,7.8,32.1,68.3,89.9,59,14.7,1.2
Albania,19.6,92.8,112.5,69.5,25.2,4.1,0.2
BosniaandHerzegovina,9.6,43.2,88.7,78.1,29.3,4.8,0.2
Croatia,8.7,39.4,88.8,96.6,46.6,8.7,0.4
Greece,7.2,26.4,68.7,92,52.3,11.9,2
Italy,5.2,26.4,64.8,90.6,61.4,16.2,1.4
Malta,12.9,33.5,82.4,103,48.9,9,0.2
Montenegro,9.3,59.2,119.5,100.9,49.2,11.1,1
NorthMacedonia,15.7,56.8,99,86.8,36.2,5.2,0.3
Portugal,8.4,32.2,66.8,87.6,50.9,11,0.6
Serbia,14.7,52.3,90.7,86.2,40,7.7,0.5
Slovenia,3.8,38.2,110,111,47.4,9.1,0.4
Spain,7.7,25.6,54.9,90.3,68.7,17.5,1.3
WesternEurope,6,37.4,94.4,117.8,65.6,14.6,0.8
Austria,7.3,42.2,88.7,100.9,55.1,11,0.6
Belgium,4.7,35.7,104.3,122.4,61,14.2,0.8
France,4.7,41,109,127.3,69,18.2,1.2
Germany,8.1,36.4,82.5,109.8,66.6,13.2,0.5
Luxembourg,4.7,29.6,70.2,105,64.7,14.7,1.1
Netherlands,3.8,32.2,102.2,129.8,54.1,9.6,0.4
Switzerland,2.8,27.9,77.1,113.9,70.3,14.1,0.9
NorthernAmerica,18.9,68.8,98.4,100.8,51.8,11.1,0.7
Canada,8.4,37.1,86.3,106,55.2,11.3,0.7
UnitedStatesofAmerica,19.9,72.2,99.8,100.2,51.4,11.1,0.7
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,0.798
