Asia-Pacific Group,34584.605,34667.156,34728.049,34768.416,34749.046,34782.662,34792.174,34778.946,34744.355,34697.844,34648.856,34558.394,34411.691,34234.335,34064.041,33890.109,33774.322,33750.287,33791.2,33846.577,33938.433,34013.36,34043.554,34064.101,34073.772,33995.891,34197.966,34837.994,35703.823,36485.671,37317.954,37588.221,36983.426,35812.885,34714.922,33580.975,32569.237,31828.999,31287.278,30679.335,30007.182,29623.035,29659.552,29957.561,30217.977,30491.933,30619.321,30487.28,30158.987,29836.353,29510.029,28972.021,28148.864,27132.651,26100.593,25031.254,23988.482,23026.599,22128.816,21189.54,20188.49,19382.256,18874.771,18539.261,18177.739,17869.069,17288.86,16268.201,14974.229,13741.384,12500.86,11389.775,10509.492,9789.771,9050.542,8317.669,7658.131,7084.026,6573.192,6094.929,5659.605,5205.672,4700.683,4172.162,3681.761,3219.174,2785.192,2387.061,2022.764,1647.811,1340.88,1129.682,903.909,661.259,492.177,409.321,336.746,253.417,159.347,101.272,190.957,,
Association of Southeast Asian Nations (ASEAN),5300.949,5410.33,5488.607,5539.299,5608.676,5586.93,5555.642,5517.568,5475.465,5428.104,5374.26,5336.606,5325.868,5332.852,5337.144,5342.241,5347.224,5349.396,5349.738,5350.336,5348.865,5349.572,5354.146,5358.817,5362.079,5368.989,5351.31,5296.356,5219.194,5142.263,5054.716,5001.273,5004.423,5040.337,5067.177,5098.665,5089.961,5016.246,4901.505,4792.282,4676.562,4582.629,4528.386,4498.14,4458.31,4415.626,4363.228,4294.332,4213.474,4132.429,4049.384,3959.857,3862.962,3760.046,3652.598,3539.434,3426.528,3316.719,3206.884,3093.172,2978.892,2850.213,2700.683,2538.132,2377.661,2217.229,2062.608,1918.51,1783.156,1649.573,1518.6,1398.749,1293.395,1199.517,1109.634,1023.935,946.359,877.698,815.609,757.738,705.467,649.08,583.782,514.043,449.095,387.067,330.808,282.658,241.018,198.348,163.905,138.536,110.856,80.778,59.628,49.436,40.829,30.94,19.779,12.908,26.302,,
Australia,163.02,162.149,161.348,160.603,158.046,158.443,158.596,158.507,158.176,157.784,157.514,156.461,154.264,151.467,148.919,146.382,145.047,145.569,147.417,149.291,151.315,153.957,157.276,161.043,164.882,168.76,172.508,175.968,179.096,181.987,184.605,186.457,187.302,187.276,187.107,187.067,185.246,180.9,175.106,169.342,162.9,159.229,160.063,163.675,166.811,170.377,171.944,170.057,166.039,162.511,158.762,156.292,156.051,157.144,157.748,158.254,157.982,156.422,153.95,151.546,149.121,146.174,142.588,138.591,134.362,129.668,125.807,123.382,121.715,119.733,117.897,114.443,108.463,100.905,93.597,86.141,79.527,74.423,70.34,66.072,61.798,57.853,54.262,50.922,47.733,44.751,41.543,37.893,33.994,30.032,27.021,24.079,20.19,15.394,12.023,10.558,8.865,6.644,3.895,2.294,3.236,,
Australia/New Zealand,191.668,191.222,190.81,190.416,187.797,188.654,189.187,189.398,189.284,189.071,188.987,187.896,185.343,182.009,178.947,175.848,174.253,175.006,177.406,179.775,182.281,185.437,189.276,193.542,197.879,202.271,206.303,209.702,212.53,215.114,217.381,218.86,219.344,218.961,218.436,218.091,215.872,210.98,204.598,198.288,191.231,187.485,189.065,193.927,198.253,203.107,205.523,203.737,199.339,195.497,191.352,188.675,188.595,190.042,190.867,191.555,191.184,189.098,185.809,182.596,179.331,175.504,171.03,166.147,160.969,155.226,150.542,147.661,145.742,143.449,141.346,137.268,130.095,120.985,112.182,103.193,95.219,89.068,84.145,78.997,73.861,69.045,64.541,60.278,56.213,52.38,48.411,44.124,39.675,35.158,31.805,28.373,23.759,18.026,13.972,12.211,10.238,7.669,4.506,2.642,3.743,,
Austria,44.459,43.634,42.898,42.253,41.571,41.174,40.854,40.615,40.464,40.399,40.418,40.564,40.859,41.285,41.822,42.495,43.211,43.927,44.701,45.534,46.309,47.604,49.669,52.174,54.589,57.081,58.921,59.712,59.804,59.903,59.818,59.911,60.416,61.109,61.665,62.312,62.22,60.995,59.126,57.444,55.726,54.847,55.31,56.7,57.969,59.17,60.849,63.123,65.695,68.187,70.71,72.415,72.85,72.367,71.812,71.068,69.933,68.408,66.566,64.569,62.494,60.145,57.478,54.672,51.9,49.067,46.916,45.818,45.442,44.977,44.455,44.259,44.456,44.818,45.14,45.569,45.065,43.119,40.219,37.387,34.461,31.604,29.015,26.618,24.112,21.525,19.247,17.431,15.931,14.387,13.378,12.041,10.133,7.699,5.979,5.333,4.477,3.266,1.702,0.884,0.916,,
Azerbaijan,72.411,77.714,81.186,83.038,84.784,83.079,80.672,77.745,74.479,70.916,67.094,63.9,61.796,60.541,59.397,58.473,58.319,59.122,60.702,62.507,64.428,67.253,71.247,75.928,80.489,85.021,88.876,91.625,93.455,95.115,96.616,96.799,95.214,92.386,89.413,86.22,82.821,79.383,75.995,72.528,68.944,66.249,64.914,64.535,64.202,64.05,64.121,64.331,64.67,65.066,65.35,66.04,67.328,68.831,70.095,71.353,71.207,68.961,65.276,61.566,57.612,53.589,49.745,46.004,42.093,38.132,34.234,30.451,26.84,23.386,20.069,17.31,15.31,13.904,12.604,11.362,10.74,10.922,11.583,12.304,13.268,13.434,12.27,10.271,8.458,6.621,5.084,4.11,3.516,2.769,2.122,1.711,1.305,0.895,0.614,0.486,0.388,0.275,0.149,0.071,0.098,,
BRIC,21429.861,21425.037,21442.965,21479.873,21442.198,21564.136,21679.035,21784.293,21877.302,21966.209,22059.159,22099.795,22064.014,21981.459,21907.382,21832.535,21787.537,21793.822,21839.601,21904.648,22008.604,22102.133,22163.738,22229.413,22285.374,22248.857,22542.689,23348.395,24426.18,25421.527,26485.509,26940.745,26439.812,25325.672,24298.275,23229.109,22333.122,21791.609,21499.65,21133.389,20712.424,20539.611,20718.932,21118.328,21495.909,21893.036,22160.295,22196.448,22059.244,21928.298,21792.439,21481.645,20937.111,20232.423,19513.123,18765.888,18022.253,17317.805,16650.744,15944.641,15167.928,14602.236,14365.118,14313.128,14223.063,14184.918,13827.65,12958.535,11769.048,10642.727,9502.076,8500.303,7752.1,7179.911,6578.039,5971.484,5462.005,5074.533,4770.03,4492.208,4261.53,3971.735,3567.134,3097.637,2668.032,2256.375,1891.69,1598.639,1359.41,1113.445,907.453,760.078,598.8,423.383,299.017,238.972,193.222,143.231,89.003,55.477,106.733,,
BRICS,21986.505,21992.328,22017.803,22059.401,22019.967,22143.131,22256.956,22359.054,22447.031,22529.694,22615.849,22647.119,22598.722,22501.854,22413.769,22324.541,22269.461,22272.408,22319.578,22385.962,22491.772,22588.786,22655.458,22727.277,22789.522,22759.036,23059.219,23871.593,24955.561,25956.097,27024.732,27479.866,26972.033,25846.051,24806.366,23724.285,22812.76,22252.779,21940.625,21553.651,21110.852,20919.887,21087.139,21478.443,21847.448,22236.462,22494.932,22520.625,22372.029,22230.475,22084.428,21763.878,21210.19,20496.807,19768.899,19013.149,18261.329,17549.085,16874.484,16160.85,15376.601,14803.332,14558.531,14498.707,14400.877,14355.235,13989.406,13110.101,11909.508,10772.313,9620.633,8609.283,7853.823,7275.901,6668.21,6056.133,5540.734,5146.458,4834.672,4550.029,4312.857,4016.791,3606.203,3131.035,2696.035,2279.252,1910.047,1613.24,1370.892,1121.67,913.214,764.504,601.98,425.369,300.121,239.703,193.783,143.606,89.176,55.53,106.773,,
Bahamas,2.844,2.668,2.553,2.492,2.391,2.474,2.574,2.687,2.805,2.933,3.073,3.176,3.22,3.225,3.233,3.235,3.242,3.266,3.299,3.319,3.329,3.338,3.35,3.358,3.363,3.373,3.341,3.244,3.11,2.982,2.844,2.756,2.747,2.789,2.825,2.869,2.897,2.891,2.867,2.85,2.828,2.833,2.88,2.95,3.013,3.08,3.1,3.046,2.944,2.844,2.731,2.649,2.623,2.628,2.619,2.607,2.562,2.465,2.333,2.205,2.076,1.943,1.811,1.68,1.548,1.415,1.297,1.202,1.123,1.047,0.972,0.908,0.856,0.811,0.77,0.733,0.691,0.636,0.574,0.516,0.46,0.407,0.356,0.308,0.261,0.217,0.178,0.147,0.123,0.098,0.08,0.066,0.052,0.036,0.025,0.02,0.016,0.011,0.007,0.003,0.004,,
Bahrain,10.641,10.693,10.703,10.672,10.558,10.473,10.357,10.212,10.04,9.852,9.659,9.426,9.145,8.838,8.577,8.391,8.152,7.816,7.472,7.18,6.84,7.008,7.941,9.345,10.672,12.026,13.094,13.664,13.873,14.111,14.354,14.296,13.843,13.128,12.369,11.502,10.817,10.472,10.336,10.132,9.933,9.631,9.152,8.569,8.027,7.487,7.043,6.754,6.569,6.372,6.178,5.999,5.827,5.657,5.494,5.34,5.14,4.868,4.546,4.231,3.924,3.587,3.212,2.819,2.436,2.054,1.734,1.51,1.355,1.206,1.069,0.963,0.886,0.833,0.793,0.769,0.739,0.69,0.63,0.58,0.538,0.486,0.421,0.347,0.278,0.208,0.154,0.124,0.11,0.097,0.089,0.076,0.058,0.036,0.019,0.012,0.01,0.007,0.004,0.002,0.005,,
